"RelativePath","AssetRoot","Extension","SourceBytes","OfficialBytes","Content"
"Sound\Cr\fabBoss\FabBossStepRight.wav","Sound",".wav","43480","43480","Identical"
"Sound\Cr\fabHulk\fabHulkFoot01.wav","Sound",".wav","15766","15766","Identical"
"Sound\Cr\fabHulk\fabHulkFoot02.wav","Sound",".wav","17692","17692","Identical"
"Sound\Cr\fabHulk\fabHulkFoot03.wav","Sound",".wav","14052","14052","Identical"
"Sound\Cr\fabHulk\fabHulkFoot04.wav","Sound",".wav","14886","14886","Identical"
"Sound\Cr\fabHulk\fabHulkMoan.wav","Sound",".wav","106540","106540","Identical"
"Sound\Cr\fabHulk\fabHulkRoar.wav","Sound",".wav","60460","60460","Identical"
"Sound\Cr\fabHulk\fabHulkScream.wav","Sound",".wav","139308","139308","Identical"
"Sound\Cr\fabVerm\fabVermLeft.wav","Sound",".wav","20506","20506","Identical"
"Sound\Cr\fabVerm\fabVermMoan.wav","Sound",".wav","85292","85292","Identical"
"Sound\Cr\fabVerm\fabVermRight.wav","Sound",".wav","22668","22668","Identical"
"Sound\Cr\fabVerm\fabVermRoar.wav","Sound",".wav","63788","63788","Identical"
"Sound\Cr\fabVerm\fabVermScream.wav","Sound",".wav","152364","152364","Identical"
"Sound\Cr\frgt\frgtLeft.wav","Sound",".wav","28252","28252","Identical"
"Sound\Cr\frgt\frgtRight.wav","Sound",".wav","26880","26880","Identical"
"Sound\Cr\frgt\moan.wav","Sound",".wav","96866","96866","Identical"
"Sound\Cr\frgt\roar.wav","Sound",".wav","33828","33828","Identical"
"Sound\Cr\frgt\scrm.wav","Sound",".wav","94818","94818","Identical"
"Sound\Cr\gbln\gblnM.wav","Sound",".wav","21752","21752","Identical"
"Sound\Cr\gbln\gblnR.wav","Sound",".wav","24104","24104","Identical"
"Sound\Cr\gbln\gblnS.wav","Sound",".wav","26292","26292","Identical"
"Sound\Cr\gblnLRG\gblnLM.wav","Sound",".wav","18244","18244","Identical"
"Sound\Cr\gblnLRG\gblnLR.wav","Sound",".wav","27138","27138","Identical"
"Sound\Cr\gblnLRG\gblnLS.wav","Sound",".wav","22546","22546","Identical"
"Sound\Cr\gldsnt\moan.wav","Sound",".wav","50540","50540","Identical"
"Sound\Cr\gldsnt\roar.wav","Sound",".wav","23390","23390","Identical"
"Sound\Cr\gldsnt\scrm.wav","Sound",".wav","72510","72510","Identical"
"Sound\Cr\gren\moan.wav","Sound",".wav","78242","78242","Identical"
"Sound\Cr\gren\roar.wav","Sound",".wav","46330","46330","Identical"
"Sound\Cr\gren\scrm.wav","Sound",".wav","101328","101328","Identical"
"Sound\Cr\guar\moan.wav","Sound",".wav","48792","48792","Identical"
"Sound\Cr\guar\roar.wav","Sound",".wav","19022","19022","Identical"
"Sound\Cr\guar\scrm.wav","Sound",".wav","52974","52974","Identical"
"Sound\Cr\hirc\moan.wav","Sound",".wav","38756","38756","Identical"
"Sound\Cr\hirc\roar.wav","Sound",".wav","36260","36260","Identical"
"Sound\Cr\hirc\scrm.wav","Sound",".wav","93796","93796","Identical"
"Sound\Cr\hrkr\hrkLeft.wav","Sound",".wav","36552","36552","Identical"
"Sound\Cr\hrkr\hrkRight.wav","Sound",".wav","46326","46326","Identical"
"Sound\Cr\hrkr\moan.wav","Sound",".wav","66530","66530","Identical"
"Sound\Cr\hrkr\roar.wav","Sound",".wav","53284","53284","Identical"
"Sound\Cr\hrkr\scrm.wav","Sound",".wav","133988","133988","Identical"
"Sound\Cr\icet\moan.wav","Sound",".wav","39034","39034","Identical"
"Sound\Cr\icet\roar.wav","Sound",".wav","42264","42264","Identical"
"Sound\Cr\icet\scrm.wav","Sound",".wav","88292","88292","Identical"
"Sound\Cr\kgout\moan.wav","Sound",".wav","48464","48464","Identical"
"Sound\Cr\kgout\moan2.wav","Sound",".wav","51608","51608","Identical"
"Sound\Cr\kgout\roar.wav","Sound",".wav","53208","53208","Identical"
"Sound\Cr\kgout\roar2.wav","Sound",".wav","21336","21336","Identical"
"Sound\Cr\kgout\scrm.wav","Sound",".wav","82866","82866","Identical"
"Sound\Cr\kgout\scrm2.wav","Sound",".wav","57368","57368","Identical"
"Sound\Cr\kwamf\moan.wav","Sound",".wav","43218","43218","Identical"
"Sound\Cr\kwamf\roar.wav","Sound",".wav","24844","24844","Identical"
"Sound\Cr\kwamf\scrm.wav","Sound",".wav","40976","40976","Identical"
"Sound\Cr\kwamf\slither.wav","Sound",".wav","32556","32556","Identical"
"Sound\Cr\kwamwk\moan.wav","Sound",".wav","118040","118040","Identical"
"Sound\Cr\kwamwk\roar.wav","Sound",".wav","37464","37464","Identical"
"Sound\Cr\kwamwk\scrm.wav","Sound",".wav","86360","86360","Identical"
"Sound\Cr\kwamwr\moan.wav","Sound",".wav","115700","115700","Identical"
"Sound\Cr\kwamwr\roar.wav","Sound",".wav","40218","40218","Identical"
"Sound\Cr\kwamwr\scrm.wav","Sound",".wav","77248","77248","Identical"
"Sound\Cr\kwanq\moan.wav","Sound",".wav","68518","68518","Identical"
"Sound\Cr\kwanq\roar.wav","Sound",".wav","29204","29204","Identical"
"Sound\Cr\kwanq\scrm.wav","Sound",".wav","65770","65770","Identical"
"Sound\Cr\lchlrd\lchlrdM.wav","Sound",".wav","55830","55830","Identical"
"Sound\Cr\lchlrd\lchlrdR.wav","Sound",".wav","27088","27088","Identical"
"Sound\Cr\lchlrd\lchlrdS.wav","Sound",".wav","86336","86336","Identical"
"Sound\Cr\mdcrb\moan.wav","Sound",".wav","34460","34460","Identical"
"Sound\Cr\mdcrb\roar.wav","Sound",".wav","13758","13758","Identical"
"Sound\Cr\mdcrb\scrm.wav","Sound",".wav","24878","24878","Identical"
"Sound\Cr\nix\moan.wav","Sound",".wav","59154","59154","Identical"
"Sound\Cr\nix\roar.wav","Sound",".wav","22582","22582","Identical"
"Sound\Cr\nix\scrm.wav","Sound",".wav","39206","39206","Identical"
"Sound\Cr\ntchbl\moan.wav","Sound",".wav","51932","51932","Identical"
"Sound\Cr\ntchbl\roar.wav","Sound",".wav","31042","31042","Identical"
"Sound\Cr\ntchbl\scrm.wav","Sound",".wav","52674","52674","Identical"
"Sound\Cr\ntchbt\moan.wav","Sound",".wav","35242","35242","Identical"
"Sound\Cr\ntchbt\roar.wav","Sound",".wav","19480","19480","Identical"
"Sound\Cr\ntchbt\scrm.wav","Sound",".wav","37558","37558","Identical"
"Sound\Cr\ogrim\moan.wav","Sound",".wav","45354","45354","Identical"
"Sound\Cr\ogrim\roar.wav","Sound",".wav","36082","36082","Identical"
"Sound\Cr\ogrim\scrm.wav","Sound",".wav","84370","84370","Identical"
"Sound\Cr\rat\moan.wav","Sound",".wav","55596","55596","Identical"
"Sound\Cr\rat\roar.wav","Sound",".wav","30254","30254","Identical"
"Sound\Cr\rat\scrm.wav","Sound",".wav","47182","47182","Identical"
"Sound\Cr\riek\moan.wav","Sound",".wav","158346","158346","Identical"
"Sound\Cr\riek\roar.wav","Sound",".wav","35328","35328","Identical"
"Sound\Cr\riek\scrm.wav","Sound",".wav","67782","67782","Identical"
"Sound\Cr\rmnt\moan.wav","Sound",".wav","79242","79242","Identical"
"Sound\Cr\rmnt\roar.wav","Sound",".wav","51328","51328","Identical"
"Sound\Cr\rmnt\scrm.wav","Sound",".wav","127692","127692","Identical"
"Sound\Cr\scamp\moan.wav","Sound",".wav","45740","45740","Identical"
"Sound\Cr\scamp\roar.wav","Sound",".wav","31032","31032","Identical"
"Sound\Cr\scamp\scrm.wav","Sound",".wav","31160","31160","Identical"
"Sound\Cr\scrib\moan.wav","Sound",".wav","45506","45506","Identical"
"Sound\Cr\scrib\roar.wav","Sound",".wav","25132","25132","Identical"
"Sound\Cr\scrib\scribLEFT.wav","Sound",".wav","9304","9304","Identical"
"Sound\Cr\scrib\scribRIGHT.wav","Sound",".wav","8984","8984","Identical"
"Sound\Cr\scrib\scrm.wav","Sound",".wav","55650","55650","Identical"
